"seqnames"	"start"	"end"	"width"	"strand"	"peak"	"feature"	"start_position"	"end_position"	"feature_strand"	"insideFeature"	"distancetoFeature"	"shortestDistance"	"fromOverlappingOrNearest"
"chr1"	149146674	149147155	482	"*"	"0074"	"ENSG00000202167"	149146714	149146879	"-"	"includeFeature"	-35	40	"shortestDistance"
"chr1"	149147677	149148069	393	"*"	"0075"	"ENSG00000202167"	149146714	149146879	"-"	"upstream"	-994	798	"shortestDistance"
"chr1"	151787189	151787405	217	"*"	"0076"	"ENSG00000143365"	151778547	151798572	"-"	"inside"	11275	8642	"shortestDistance"
"chr1"	157490313	157490788	476	"*"	"0077"	"ENSG00000143297"	157483167	157522305	"-"	"inside"	31755	7146	"shortestDistance"
"chr1"	158318666	158319001	336	"*"	"0078"	"ENSG00000158488"	158323486	158327343	"+"	"upstream"	-4652	4485	"shortestDistance"
"chr1"	161993598	161993997	400	"*"	"0079"	"ENSG00000162745"	161952982	161993644	"-"	"overlapStart"	-154	46	"shortestDistance"
"chr1"	162792354	162792698	345	"*"	"0080"	"ENSG00000230739"	162794585	162819257	"+"	"upstream"	-2059	1887	"shortestDistance"
"chr1"	165414193	165414598	406	"*"	"0081"	"ENSG00000143171"	165370159	165414363	"-"	"overlapStart"	-33	170	"shortestDistance"
"chr1"	165677497	165677928	432	"*"	"0082"	"ENSG00000215838"	165667987	165679205	"+"	"inside"	9725	1277	"shortestDistance"
"chr1"	165909995	165910882	888	"*"	"0083"	"ENSG00000271527"	165910472	165911006	"-"	"overlapEnd"	568	124	"shortestDistance"
"chr1"	166765969	166766311	343	"*"	"0084"	"ENSG00000232223"	166765503	166766420	"+"	"inside"	637	109	"shortestDistance"
"chr1"	166889805	166889920	116	"*"	"0085"	"ENSG00000143195"	166877424	166944777	"-"	"inside"	54915	12381	"shortestDistance"
"chr1"	167479514	167479886	373	"*"	"0086"	"ENSG00000198821"	167399877	167487775	"-"	"inside"	8075	7889	"shortestDistance"
"chr1"	171639748	171640192	445	"*"	"0087"	"ENSG00000233328"	171639657	171640079	"-"	"overlapStart"	109	91	"shortestDistance"
"chr1"	175014507	175014815	309	"*"	"0088"	"ENSG00000181101"	175013762	175014784	"-"	"overlapStart"	123	31	"shortestDistance"
"chr1"	175048570	175049283	714	"*"	"0089"	"ENSG00000120332"	175036994	175117202	"+"	"inside"	11932	11576	"shortestDistance"
"chr1"	178465342	178465695	354	"*"	"0090"	"ENSG00000188585"	178448382	178456056	"-"	"upstream"	-9462	9286	"shortestDistance"
"chr1"	178907566	178908001	436	"*"	"0091"	"ENSG00000116191"	178694282	178890976	"+"	"downstream"	213502	16590	"shortestDistance"
"chr1"	179544758	179545113	356	"*"	"0092"	"ENSG00000116218"	179519674	179545068	"-"	"overlapStart"	132	45	"shortestDistance"
"chr1"	179782035	179782674	640	"*"	"0093"	"ENSG00000143340"	179712298	179785333	"+"	"inside"	70056	2659	"shortestDistance"
"chr1"	180228780	180229199	420	"*"	"0094"	"ENSG00000121454"	180199399	180248119	"+"	"inside"	29591	18920	"shortestDistance"
"chr1"	181176180	181176657	478	"*"	"0095"	"ENSG00000225359"	181159607	181160285	"-"	"upstream"	-16133	15895	"shortestDistance"
"chr1"	181285849	181286403	555	"*"	"0096"	"ENSG00000179452"	181205524	181207740	"+"	"downstream"	80602	78109	"shortestDistance"
"chr1"	181381959	181382760	802	"*"	"0097"	"ENSG00000198216"	181452653	181777219	"+"	"upstream"	-70293	69893	"shortestDistance"
"chr1"	181979249	181979784	536	"*"	"0098"	"ENSG00000179930"	182023705	182030847	"-"	"downstream"	51331	43921	"shortestDistance"
"chr1"	182384533	182384880	348	"*"	"0099"	"ENSG00000203729"	182376756	182383950	"+"	"downstream"	7950	583	"shortestDistance"
"chr1"	182993004	182993277	274	"*"	"0100"	"ENSG00000135862"	182992555	183114727	"+"	"inside"	585	449	"shortestDistance"
"chr1"	183118775	183119254	480	"*"	"0101"	"ENSG00000135862"	182992555	183114727	"+"	"downstream"	126459	4048	"shortestDistance"
"chr1"	184195368	184195679	312	"*"	"0102"	"ENSG00000199840"	184140848	184140957	"-"	"upstream"	-54567	54411	"shortestDistance"
"chr1"	184545670	184546057	388	"*"	"0103"	"ENSG00000116667"	184356163	184598153	"+"	"inside"	189701	52096	"shortestDistance"
"chr1"	199998617	199998982	366	"*"	"0104"	"ENSG00000116833"	199996742	200144731	"+"	"inside"	2058	1875	"shortestDistance"
"chr1"	200857294	200857494	201	"*"	"0105"	"ENSG00000163362"	200860469	200884863	"+"	"upstream"	-3075	2975	"shortestDistance"
"chr1"	201252369	201253551	1183	"*"	"0106"	"ENSG00000081277"	201252580	201302121	"+"	"overlapStart"	380	211	"shortestDistance"
"chr1"	201509032	201509304	273	"*"	"0107"	"ENSG00000224536"	201476369	201503912	"+"	"downstream"	32799	5120	"shortestDistance"
"chr1"	203555321	203555618	298	"*"	"0108"	"ENSG00000058668"	203595689	203713209	"+"	"upstream"	-40219	40071	"shortestDistance"
"chr1"	204042228	204042493	266	"*"	"0109"	"ENSG00000143842"	204042243	204096871	"+"	"overlapStart"	117	15	"shortestDistance"
"chr1"	204587276	204587718	443	"*"	"0110"	"ENSG00000170382"	204586298	204591333	"-"	"inside"	3836	978	"shortestDistance"
"chr1"	205012580	205012883	304	"*"	"0111"	"ENSG00000184144"	205012096	205044056	"+"	"inside"	636	484	"shortestDistance"
"chr1"	205354720	205355786	1067	"*"	"0112"	"ENSG00000226235"	205342380	205356568	"+"	"inside"	12873	782	"shortestDistance"
"chr1"	205538802	205539090	289	"*"	"0113"	"ENSG00000174514"	205538142	205572046	"+"	"inside"	804	660	"shortestDistance"
"chr1"	206205969	206206240	272	"*"	"0114"	"ENSG00000226780"	206214526	206223548	"-"	"downstream"	17444	8286	"shortestDistance"
"chr1"	206681203	206681676	474	"*"	"0115"	"ENSG00000266094"	206680863	206761044	"+"	"inside"	577	340	"shortestDistance"
"chr1"	210406054	210406649	596	"*"	"0116"	"ENSG00000082497"	210406141	210419600	"+"	"overlapStart"	211	87	"shortestDistance"
"chr1"	212773468	212773683	216	"*"	"0117"	"ENSG00000162772"	212738676	212794114	"+"	"inside"	34900	20431	"shortestDistance"
"chr1"	214556787	214557716	930	"*"	"0118"	"ENSG00000152104"	214522043	214724945	"-"	"inside"	167693	34744	"shortestDistance"
"chr1"	220641097	220641407	311	"*"	"0119"	"ENSG00000226226"	220641296	220642150	"+"	"overlapStart"	-44	111	"shortestDistance"
"chr1"	220700595	220700993	399	"*"	"0120"	"ENSG00000116141"	220701525	220837798	"+"	"upstream"	-731	532	"shortestDistance"
"chr1"	220856548	220856781	234	"*"	"0121"	"ENSG00000162817"	220863705	220872495	"+"	"upstream"	-7041	6924	"shortestDistance"
"chr1"	220921321	220922059	739	"*"	"0122"	"ENSG00000117791"	220921611	220957582	"+"	"overlapStart"	79	290	"shortestDistance"
"chr1"	221067396	221067792	397	"*"	"0123"	"ENSG00000136630"	221052785	221058401	"+"	"downstream"	14809	8995	"shortestDistance"
"chr1"	223567257	223568199	943	"*"	"0124"	"ENSG00000178395"	223566759	223568812	"+"	"inside"	969	498	"shortestDistance"
"chr1"	224805782	224806114	333	"*"	"0125"	"ENSG00000143786"	224804019	224928256	"+"	"inside"	1929	1763	"shortestDistance"
"chr1"	225705161	225705558	398	"*"	"0126"	"ENSG00000154380"	225674537	225840844	"-"	"inside"	135484	30624	"shortestDistance"
"chr1"	225802610	225802708	99	"*"	"0127"	"ENSG00000154380"	225674537	225840844	"-"	"inside"	38185	38136	"shortestDistance"
"chr1"	225840754	225841235	482	"*"	"0128"	"ENSG00000154380"	225674537	225840844	"-"	"overlapStart"	-150	90	"shortestDistance"
"chr1"	226923836	226924297	462	"*"	"0129"	"ENSG00000143772"	226819391	226925159	"-"	"inside"	1093	862	"shortestDistance"
"chr1"	228108764	228109269	506	"*"	"0130"	"ENSG00000143816"	228106357	228135633	"-"	"inside"	26617	2407	"shortestDistance"
"chr1"	228495050	228495343	294	"*"	"0131"	"ENSG00000154358"	228395764	228548951	"+"	"inside"	99432	53608	"shortestDistance"
"chr1"	230120462	230120570	109	"*"	"0132"	"ENSG00000228058"	230138464	230142942	"+"	"upstream"	-17948	17894	"shortestDistance"
"chr1"	230839143	230839336	194	"*"	"0133"	"ENSG00000135744"	230838269	230849868	"-"	"inside"	10628	874	"shortestDistance"
"chr1"	230849915	230850285	371	"*"	"0134"	"ENSG00000244137"	230846444	230931238	"-"	"inside"	81138	3471	"shortestDistance"
"chr1"	231320536	231321041	506	"*"	"0135"	"ENSG00000235710"	231319851	231323373	"-"	"inside"	2585	685	"shortestDistance"
"chr1"	231830312	231830740	429	"*"	"0136"	"ENSG00000162946"	231762561	231859820	"+"	"inside"	67965	29080	"shortestDistance"
"chr1"	234041303	234041831	529	"*"	"0137"	"ENSG00000287921"	234039850	234041677	"-"	"overlapStart"	110	154	"shortestDistance"
"chr1"	234350071	234350723	653	"*"	"0138"	"ENSG00000233332"	234348352	234350834	"-"	"inside"	437	111	"shortestDistance"
"chr1"	234916353	234916671	319	"*"	"0139"	"ENSG00000279261"	234893366	234895803	"-"	"upstream"	-20709	20550	"shortestDistance"
"chr1"	235745352	235745652	301	"*"	"0140"	"ENSG00000168243"	235710985	235813084	"-"	"inside"	67582	34367	"shortestDistance"
"chr1"	236156501	236156888	388	"*"	"0141"	"ENSG00000116962"	236139130	236228390	"-"	"inside"	71696	17371	"shortestDistance"
"chr1"	236355170	236355414	245	"*"	"0142"	"ENSG00000077585"	236305839	236372207	"+"	"inside"	49453	16793	"shortestDistance"
"chr1"	242121165	242122136	972	"*"	"0143"	"ENSG00000196289"	242121069	242122364	"+"	"inside"	581	96	"shortestDistance"
"chr1"	244268335	244268534	200	"*"	"0144"	"ENSG00000244066"	244267234	244267510	"+"	"downstream"	1200	825	"shortestDistance"
"chr1"	244318430	244319241	812	"*"	"0145"	"ENSG00000287531"	244348255	244350861	"-"	"downstream"	32025	29014	"shortestDistance"
"chr1"	244923575	244923761	187	"*"	"0146"	"ENSG00000282317"	244894326	244894888	"+"	"downstream"	29342	28687	"shortestDistance"
"chr1"	244942856	244943389	534	"*"	"0147"	"ENSG00000282317"	244894326	244894888	"+"	"downstream"	48796	47968	"shortestDistance"
"chr1"	244952262	244952678	417	"*"	"0148"	"ENSG00000287601"	244997676	244998313	"-"	"downstream"	45843	44998	"shortestDistance"
"chr1"	245606309	245607389	1081	"*"	"0149"	"ENSG00000162849"	245318287	245872734	"+"	"inside"	288562	265345	"shortestDistance"
"chr1"	247614682	247614988	307	"*"	"0150"	"ENSG00000177535"	247612420	247621407	"-"	"inside"	6572	2262	"shortestDistance"
"chr10"	387356	387716	361	"*"	"0151"	"ENSG00000151240"	320130	532498	"-"	"inside"	144962	67226	"shortestDistance"
"chr10"	633785	634317	533	"*"	"0152"	"ENSG00000225140"	674578	677195	"+"	"upstream"	-40527	40261	"shortestDistance"
"chr10"	742487	743065	579	"*"	"0153"	"ENSG00000180525"	696051	697173	"+"	"downstream"	46725	45314	"shortestDistance"
"chr10"	772459	772906	448	"*"	"0154"	"ENSG00000231601"	789932	790898	"+"	"upstream"	-17250	17026	"shortestDistance"
"chr10"	825893	826709	817	"*"	"0155"	"ENSG00000107929"	852854	977645	"-"	"downstream"	151344	26145	"shortestDistance"
"chr10"	1000688	1001066	379	"*"	"0156"	"ENSG00000229869"	978966	988683	"+"	"downstream"	21911	12005	"shortestDistance"
"chr10"	1506913	1507408	496	"*"	"0157"	"ENSG00000185736"	1223253	1779719	"-"	"inside"	272559	272311	"shortestDistance"
"chr10"	3248160	3248500	341	"*"	"0158"	"ENSG00000226762"	3243021	3252858	"-"	"inside"	4528	4358	"shortestDistance"
"chr10"	6176333	6176728	396	"*"	"0159"	"ENSG00000170525"	6186897	6277495	"+"	"upstream"	-10367	10169	"shortestDistance"
"chr10"	7525110	7525464	355	"*"	"0160"	"ENSG00000207453"	7528665	7528771	"-"	"downstream"	3484	3201	"shortestDistance"
"chr10"	11829798	11830256	459	"*"	"0161"	"ENSG00000134463"	11784381	11806069	"+"	"downstream"	45646	23729	"shortestDistance"
"chr10"	24812973	24813636	664	"*"	"0162"	"ENSG00000120549"	23983675	24836772	"+"	"inside"	829629	23136	"shortestDistance"
"chr10"	26726925	26727385	461	"*"	"0163"	"ENSG00000077420"	26727270	26856732	"+"	"overlapStart"	-115	115	"shortestDistance"
"chr10"	26877572	26877985	414	"*"	"0164"	"ENSG00000233261"	26878794	26883259	"+"	"upstream"	-1016	809	"shortestDistance"
"chr10"	27608801	27609261	461	"*"	"0165"	"ENSG00000278830"	27602652	27605516	"+"	"downstream"	6379	3285	"shortestDistance"
"chr10"	27702529	27702827	299	"*"	"0166"	"ENSG00000182077"	27686050	27703297	"-"	"inside"	619	470	"shortestDistance"
"chr10"	28287586	28288133	548	"*"	"0167"	"ENSG00000169126"	28101097	28287977	"-"	"overlapStart"	117	156	"shortestDistance"
"chr10"	28725502	28725818	317	"*"	"0168"	"ENSG00000224439"	28725130	28726007	"+"	"inside"	530	189	"shortestDistance"
"chr10"	29799578	29799948	371	"*"	"0169"	"ENSG00000197321"	29746267	30024733	"-"	"inside"	224970	53311	"shortestDistance"
"chr10"	33625244	33625650	407	"*"	"0170"	"ENSG00000099250"	33466420	33623564	"-"	"upstream"	-1883	1680	"shortestDistance"
"chr10"	44163985	44164356	372	"*"	"0171"	"ENSG00000223910"	44124265	44170151	"+"	"inside"	39905	5795	"shortestDistance"
"chr10"	44321641	44321974	334	"*"	"0172"	"ENSG00000226808"	44274394	44357453	"+"	"inside"	47414	35479	"shortestDistance"
"chr10"	45268916	45269230	315	"*"	"0173"	"ENSG00000224812"	45289040	45455109	"-"	"downstream"	186036	19810	"shortestDistance"
"chr10"	45700747	45701105	359	"*"	"0174"	"ENSG00000278531"	45682740	45693771	"-"	"upstream"	-7155	6976	"shortestDistance"
"chr10"	46970169	46970289	121	"*"	"0175"	"ENSG00000204176"	46957555	46971400	"-"	"inside"	1171	1111	"shortestDistance"
"chr10"	46970776	46970899	124	"*"	"0176"	"ENSG00000204176"	46957555	46971400	"-"	"inside"	562	501	"shortestDistance"
"chr10"	46971509	46971946	438	"*"	"0177"	"ENSG00000204176"	46957555	46971400	"-"	"upstream"	-328	109	"shortestDistance"
"chr10"	47013800	47014160	361	"*"	"0178"	"ENSG00000204175"	46994087	47000573	"+"	"downstream"	19893	13227	"shortestDistance"
"chr10"	47653752	47654285	534	"*"	"0179"	"ENSG00000259942"	47656084	47657233	"+"	"upstream"	-2066	1799	"shortestDistance"
"chr10"	47747552	47747846	295	"*"	"0180"	"ENSG00000215033"	47746962	47770871	"+"	"inside"	737	590	"shortestDistance"
"chr10"	48370649	48370768	120	"*"	"0181"	"ENSG00000265763"	48355069	48373866	"+"	"inside"	15639	3098	"shortestDistance"
"chr10"	49880113	49880552	440	"*"	"0182"	"ENSG00000236800"	49872244	49880469	"-"	"overlapStart"	137	83	"shortestDistance"
"chr10"	49893016	49893405	390	"*"	"0183"	"ENSG00000128815"	49892921	49944287	"+"	"inside"	289	95	"shortestDistance"
"chr10"	50602940	50603778	839	"*"	"0184"	"ENSG00000165606"	50572226	50603497	"-"	"overlapStart"	138	281	"shortestDistance"
"chr10"	50605751	50606184	434	"*"	"0185"	"ENSG00000165606"	50572226	50603497	"-"	"upstream"	-2471	2254	"shortestDistance"
"chr10"	50976341	50976956	616	"*"	"0186"	"ENSG00000226389"	50979887	50981345	"+"	"upstream"	-3239	2931	"shortestDistance"
"chr10"	51488883	51489269	387	"*"	"0187"	"ENSG00000264204"	51464464	51486201	"-"	"upstream"	-2875	2682	"shortestDistance"
"chr10"	62492806	62493419	614	"*"	"0188"	"ENSG00000254271"	62494100	62501586	"+"	"upstream"	-988	681	"shortestDistance"
"chr10"	72043015	72043588	574	"*"	"0189"	"ENSG00000148734"	72007085	72043432	"-"	"overlapStart"	130	156	"shortestDistance"
"chr10"	73220386	73221019	634	"*"	"0190"	"ENSG00000107736"	73156691	73492174	"+"	"inside"	64011	63695	"shortestDistance"
"chr10"	76538258	76538656	399	"*"	"0191"	"ENSG00000213525"	76504144	76504465	"-"	"upstream"	-33992	33793	"shortestDistance"
"chr10"	79492052	79492366	315	"*"	"0192"	"ENSG00000213514"	79490524	79494527	"+"	"inside"	1685	1528	"shortestDistance"
"chr10"	80588198	80588507	310	"*"	"0193"	"ENSG00000223243"	80510359	80510454	"+"	"downstream"	77993	77744	"shortestDistance"
"chr10"	80654523	80654674	152	"*"	"0194"	"ENSG00000224596"	80703085	80722151	"-"	"downstream"	67553	48411	"shortestDistance"
"chr10"	81664405	81664986	582	"*"	"0195"	"ENSG00000283913"	81664654	81710785	"+"	"overlapStart"	42	249	"shortestDistance"
"chr10"	81743068	81743580	513	"*"	"0196"	"ENSG00000225100"	81742666	81742996	"-"	"upstream"	-328	72	"shortestDistance"
"chr10"	103009390	103009719	330	"*"	"0197"	"ENSG00000229649"	103012578	103023307	"-"	"downstream"	13753	2859	"shortestDistance"
"chr10"	125803381	125803886	506	"*"	"0198"	"ENSG00000182022"	125767184	125851970	"-"	"inside"	48336	36197	"shortestDistance"
"chr10"	130203415	130203805	391	"*"	"0199"	"ENSG00000234640"	130114546	130118478	"-"	"upstream"	-85132	84937	"shortestDistance"
"chr10"	134788458	134788467	10	"*"	"0200"	"ENSG00000240707"	134779038	134789858	"+"	"inside"	9424	1391	"shortestDistance"
"chr11"	1824925	1825357	433	"*"	"0201"	"ENSG00000230080"	1824119	1825325	"-"	"overlapStart"	184	32	"shortestDistance"
"chr11"	1957933	1958135	203	"*"	"0202"	"ENSG00000130595"	1940933	1959932	"+"	"inside"	17101	1797	"shortestDistance"
